lineage	No	Yes	total	open_ratio
B.1.1.8	101.0	105.0	618.7642482014836	0.16969306210757287
B.1.104	52.0	105.0	472.0024739981365	0.22245646110832576
B.1.471	106.0	103.0	627.7389442721724	0.16408094629117306
B.1.1.67	35.0	103.0	415.1185587392735	0.24812188670343682
B.1.36.9	83.0	102.0	555.8266168432407	0.18351046335150045
B.1.177.2	45.0	101.0	439.03685371640216	0.23004902468903307
B.1.36.35	25.0	100.0	376.19872408293463	0.2658169568325133
B.1.162	58.0	100.0	474.9487345314472	0.21054903977932132
B.1.1.74	16.0	98.0	343.2878591649688	0.2854747040526871
B.1.1.316	91.0	98.0	567.7774226281075	0.1726028476905284
B.1.1.269	245.0	95.0	1020.4190602655382	0.09309900579011006
B.1.1.227	26.0	94.0	361.17372580235804	0.2602625642027981
B.1.1.138	30.0	94.0	373.135941712524	0.2519189107556426
B.1.160.29	6.0	94.0	301.40780133373147	0.3118698307875556
C.37	277.0	92.0	1107.3739416390838	0.08307943373114401
B.28	114.0	91.0	615.6656136143135	0.14780750782194466
B.1.1.284	48.0	91.0	417.9812453344582	0.21771311755192285
B.1.1.228	75.0	90.0	495.81773177317734	0.1815183165760043
B.1.356	322.0	88.0	1230.3219231367307	0.07152599522541403
B.1.199	52.0	87.0	417.93814591746263	0.20816477473961273
B.1.177.23	102.0	87.0	567.6901962507382	0.1532526025190925
W.3	28.0	87.0	346.1335425025928	0.2513480761528574
A.23.1	173.0	86.0	777.4979631427251	0.11061122224986845
B.1.612	104.0	85.0	567.6743359502458	0.14973373749178945
B.11	70.0	85.0	465.8220964558684	0.18247309573055606
B.1.1.214	18.0	85.0	310.2362176984964	0.27398477402341015
B.1.1.365	10.0	84.0	283.33831177234663	0.2964653790536147
B.1.160.15	12.0	84.0	289.3105152300713	0.2903454785706625
B.1.1.294	267.0	84.0	1053.3589335806664	0.07974489732047947
B.1.160.32	25.0	84.0	328.1546059693431	0.25597690378859855
B.1.577	280.0	83.0	1089.3429392118285	0.07619271857589029
B.55	82.0	83.0	495.754162644915	0.1674216905354538
B.1.617.2	67.0	80.0	441.81582376587755	0.18107092525140694
B.1.1.180		80.0	241.49689440993788	0.3312671999176976
B.1.576	341.0	79.0	1260.2821218024417	0.0626843772781725
B.1.258.7	312.0	79.0	1173.3030429590438	0.06733128365606535
B.1.433	26.0	78.0	313.12365269461077	0.249102868239958
B.1.160.12	2.0	78.0	241.45954728995184	0.3230354768549917
B.1.588	169.0	77.0	738.4694126912617	0.10426972150326835
B.39	191.0	77.0	804.4308931858363	0.09571984449161598
B.1.36.39	32.0	76.0	325.05441298416855	0.233807008809019
C.16	146.0	75.0	663.5089195913203	0.11303540583327092
B.1.36.28	31.0	75.0	319.0601439676115	0.23506539885349456
B.1.206	643.0	75.0	2154.1566814378707	0.034816408967029505
B.1.1.196	32.0	75.0	322.05025769788267	0.23288290633928932
B.1.336	151.0	75.0	678.497665874774	0.11053833162904686
B.1.190	9.0	74.0	250.33496793990864	0.2956039286439729
B.1.1.376	53.0	74.0	381.8733489456339	0.19378152522116737
B.1.532	29.0	74.0	310.0764214281676	0.23865084503738337
B.1.1.153	331.0	74.0	1215.2740534706015	0.06089161517821389
B.1.177.82	294.0	73.0	1101.2983381781326	0.06628539921413412
B.1.36.12	11.0	73.0	253.30133524682344	0.2881942960500658
B.1.160.22	10.0	71.0	244.3124561940348	0.2906114616751725
B.1.223	139.0	70.0	627.50225826901	0.11155338339832878
B.1.160.11	4.0	68.0	217.41358971083005	0.3127679373237114
B.1.160.30	2.0	68.0	211.4537958190978	0.3215832552761319
B.1.523	109.0	67.0	528.5708170993053	0.12675690339410542
B.1.177.65	847.0	67.0	2742.1099547666076	0.024433739385079707
B.1.177.52	206.0	66.0	816.3639164969256	0.08084629742481832
B.1.1.189	174.0	66.0	720.4124212690646	0.09161418938853896
B.1.1.231	83.0	66.0	447.66410081180464	0.14743196937237996
B.1.265	239.0	65.0	912.3206861010525	0.07124687732094274
B.1.439	47.0	65.0	336.86978583923525	0.19295289376596103
B.1.324	120.0	64.0	552.5215749065977	0.11583258085590419
B.1.1.305	53.0	64.0	351.8198749561624	0.18191126924814738
B.1.1.240	53.0	63.0	348.8140209644946	0.1806120058643305
B.1.160.9	20.0	63.0	250.1368267666432	0.25186215406327894
B.1.1.225	41.0	63.0	312.9077743010619	0.20133727946108815
B.1.1.200	12.0	63.0	226.25766109785204	0.27844361023759423
B.1.177.71		63.0	190.49606299212599	0.3307154962179143
B.1.1.207	119.0	62.0	543.5136502434902	0.11407257199929467
B.1.1.61	32.0	61.0	279.98271851792657	0.21787058973818174
P.2	357.0	61.0	1254.2188867866462	0.04863584868848865
B.1.239	138.0	60.0	594.4544295995588	0.1009328840234527
B.1.160.31	9.0	60.0	208.30162533010264	0.28804383981601667
B.1.451	6.0	60.0	199.3605272975998	0.30096228583120516
B.1.361	285.0	60.0	1035.2608476535324	0.05795640792945356
B.1.1.453	8.0	60.0	205.32068555828002	0.29222579223742695
B.1.177.84	44.0	60.0	312.8645867317267	0.19177625894569028
B.1.1.192	91.0	60.0	453.59576542988924	0.13227636713745733
B.1.1.304	192.0	59.0	753.3525346342318	0.07831658790216418
B.1.413	77.0	58.0	405.64410316967565	0.14298248032398822
B.1.314	53.0	58.0	333.7831702958019	0.17376550156378417
B.1.1.12	13.0	58.0	214.2230158068728	0.2707458849906603
B.1.108	64.0	57.0	363.7061539670633	0.15671992177828764
B.1.160.23	67.0	57.0	372.689090902428	0.1529424965511612
B.1.1.270	21.0	55.0	229.08381171978797	0.24008680310975097
B.1.1.205	25.0	55.0	241.02977926876702	0.22818757153932712
B.1.37	7.0	55.0	187.32749455283232	0.29360345704345203
B.1.126	116.0	54.0	510.47632234488844	0.1057835547630287
B.1.403	10.0	54.0	193.26286229687122	0.2794121920695274
B.23	163.0	54.0	651.3732005877835	0.08290178341889366
B.1.1.406	38.0	54.0	276.8795015694367	0.19503068914062502
B.1.160.10	1.0	53.0	163.4678026369615	0.3242228692441984
B.1.1.132	5.0	53.0	175.36711857166827	0.3022231330005014
B.1.105	23.0	53.0	229.0444601918411	0.2313961226375382
B.1.554	13.0	53.0	199.20211758198067	0.26606142868028554
B.1.1.25	682.0	53.0	2205.1081614967925	0.024035102189284195
C.3	27.0	53.0	240.99238407375708	0.219923962343055
A.2	1048.0	52.0	3300.0709085830313	0.015757237174739227
B.1.465	130.0	51.0	543.4225423599004	0.0938496216563344
B.1.14	2.0	51.0	160.43906782002082	0.3178776883521373
B.1.280	22.0	51.0	220.04628164506363	0.23176942422623345
B.1.1.115	10.0	50.0	181.2471264367816	0.27586644259124204
B.1.1.89	24.0	49.0	220.00531338479115	0.2227218936039903
B.1.1.309	41.0	49.0	270.8158457614486	0.18093475978935974
B.29	106.0	49.0	465.4740325229751	0.10526903022797826
B.1.595.1	73.0	49.0	366.60212899781567	0.13365988935730364
B.1.1.3	36.0	48.0	252.85617433414046	0.18983123558837722
B.1.1.432	125.0	48.0	519.4160738142937	0.0924114643728977
B.1.1.135	57.0	48.0	315.68521779605135	0.15205019840685233
B.1.177.51	34.0	48.0	246.87700782164907	0.19442879846743993
B.1.1.300	8.0	48.0	169.28245931283905	0.2835497558036687
B.1.452	18.0	47.0	196.0826155837807	0.23969488503644626
B.1.110	142.0	47.0	567.3729341273579	0.08283793105550209
B.1.408	59.0	47.0	318.6646316276318	0.147490481638768
U.1	9.0	47.0	169.25580731580496	0.27768618841128045
B.1.551	65.0	47.0	336.62907194009495	0.13961955136294324
B.1.3	169.0	47.0	648.3263341172448	0.07249435589253793
B.1.1.274	40.0	47.0	261.8095087787025	0.17951983569751584
B.1.492		47.0	142.49473684210525	0.329836743739381
B.1.1.368	20.0	46.0	199.04362418429557	0.2311051167225952
B.1.222	360.0	46.0	1218.1699428354616	0.03776156214536745
B.3.1	432.0	46.0	1434.1443466212813	0.03207487454688364
B.45	139.0	45.0	552.3667666135569	0.08146760942169896
B.1.1.265	62.0	45.0	321.6304286812381	0.1399121351313394
B.1.568	66.0	45.0	333.6077386172173	0.13488895727216077
B.1.346	79.0	45.0	372.54408970500896	0.12079107210003595
B.1.1.125	20.0	45.0	196.03662788065375	0.2295489393308469
B.1.1.71	75.0	45.0	360.5622074882995	0.12480509344967963
B.1.301	85.0	45.0	390.51900064774935	0.11523126896606573
B.46		45.0	136.4945054945055	0.3296836003542388
B.1.258.12	48.0	45.0	279.7251786999682	0.16087218250834248
B.1.515	5.0	45.0	151.34598612487613	0.29733196863820577
B.1.390	18.0	45.0	190.06941536479306	0.23675560801633022
B.1.1.299	4.0	43.0	142.36793105257385	0.3020343112531494
B.20		43.0	130.49425287356323	0.32951642737602393
B.1.177.53	74.0	43.0	351.55099388858184	0.1223151143006813
B.1.385	11.0	43.0	163.1915303388495	0.2634940668226786
B.1.377	21.0	43.0	193.00605836369155	0.22279093394556984
B.1.1.308	19.0	42.0	184.03085489481384	0.22822259899844435
B.1.78	35.0	42.0	231.8172192513369	0.18117722288120228
B.1.402	16.0	42.0	175.08396067844956	0.23988490914444813
B.1.1.164	44.0	42.0	258.7318667674199	0.16233021670173617
B.1.177.33	150.0	41.0	573.3219292501283	0.07151305036181961
B.1.117	8.0	41.0	148.2515602152486	0.2765569545472001
B.1.1.256	10.0	41.0	154.20273903954106	0.26588373368313956
B.1.1.241	150.0	41.0	573.3219292501283	0.07151305036181961
B.1.1.236	22.0	41.0	189.9745184283347	0.21581841785516456
B.1.1.59	45.0	40.0	255.7052328177648	0.15643011900545295
B.1.448	46.0	40.0	258.69704723915606	0.15462101491642247
C.36	173.0	40.0	639.2816487666294	0.06257023031581195
Z.1	114.0	40.0	462.3895009607851	0.08650715450261136
B.1.469	55.0	40.0	285.63111343865467	0.14004076628224482
B.1.258.5	39.0	40.0	237.75868496762152	0.16823780803400423
B.1.525	106.0	40.0	438.41083049550315	0.0912386218989868
B.1.36.31	83.0	40.0	369.48759020826725	0.10825803372030275
B.1.370	59.0	40.0	297.60564920151523	0.13440605078338125
B.1.166	70.0	40.0	330.54515451545154	0.12101221105066955
B.1.160.20	1.0	39.0	121.45663013275701	0.32110227294608307
B.1.177.32	171.0	39.0	630.2785303874381	0.0618774051783524
XA	3.0	39.0	127.38778084825184	0.3061518125231962
B.1.1.41	82.0	39.0	363.48325671866354	0.10729517599262088
B.1.165	6.0	39.0	136.29586696013695	0.286142205701707
B.1.201	95.0	38.0	399.4284181483752	0.09513594494892495
B.1.435	23.0	38.0	183.93284386780047	0.2065971427447294
B.1.1.419	30.0	38.0	204.83709189038527	0.18551327618112734
B.1.146	45.0	38.0	249.68611737046623	0.15219108054621372
B.1.340	49.0	37.0	258.6448120982299	0.1430533235901437
B.1.1.165	12.0	37.0	148.1297662276318	0.24978099231684403
B.1.96	3.0	37.0	121.38221346926166	0.3048222547809258
B.1.382	11.0	36.0	142.14584069781884	0.2532610157516371
B.1.437	1.0	36.0	112.45314600830102	0.32013332910528414
B.1.558	52.0	36.0	264.6131620247827	0.13604765433636432
B.1.1.290		36.0	109.4931506849315	0.32878768922807455
B.1.409	317.0	34.0	1053.1452924631437	0.032284244389944775
B.1.1.33	893.0	34.0	2781.0550158184446	0.012225576195584193
B.1.319	186.0	34.0	660.2317910501007	0.05149706581975232
B.1.1.50	495.0	34.0	1587.0964063654696	0.02142276919261742
B.1.251	2.0	33.0	106.4080202519993	0.3101269990913111
B.1.348	1.0	33.0	103.44905305405744	0.3189976034169767
B.1.229	24.0	33.0	171.86695839276646	0.1920089836266568
B.6	729.0	33.0	2286.064960014616	0.01443528533843107
B.1.1.123	4.0	33.0	112.33252704165731	0.2937706545830871
B.1.379	2.0	33.0	106.4080202519993	0.3101269990913111
B.1.282	9.0	33.0	127.17493079792996	0.2594851028653923
B.1.1.257	22.0	32.0	162.88727199231977	0.19645488323672594
B.1.177.77	672.0	32.0	2112.0681810844994	0.015151026035328424
B.1.404	102.0	32.0	402.3581026538795	0.07953114349862456
B.1.258.10	23.0	32.0	165.87119667573464	0.19292077612822392
B.1.36.16	228.0	32.0	780.1846008227457	0.0410159338780262
B.1.119	24.0	31.0	165.84401787983435	0.18692263004904813
B.1.1.285	16.0	31.0	141.98706379152858	0.2183297490080893
B.1.1.218	31.0	31.0	186.74899598393574	0.1659982150729562
B.1.1.204	43.0	31.0	222.62778716985216	0.1392458704013834
B.1.36.8	464.0	31.0	1485.093937413232	0.020874100431651114
B.1.351.3	64.0	30.0	282.47845296961276	0.10620279063630814
B.1.36.7	21.0	30.0	153.8806664867782	0.19495626503916702
B.1.1.158	24.0	30.0	162.83191174798134	0.18423907008124848
B.1.258.23	1.0	30.0	94.44417636171337	0.3176479604745822
B.1.36.24	65.0	30.0	285.4734222170471	0.1050885920202786
B.10	66.0	30.0	288.4684961000975	0.10399749159988031
B.31	131.0	30.0	483.2794492223572	0.06207588600813228
B.1.508	7.0	30.0	112.21182237150445	0.2673515086554581
A.2.3	136.0	30.0	498.2710351762132	0.06020819570495507
L.3	58.0	30.0	264.51103410701944	0.11341681870202132
B.1.1.17		29.0	88.49152542372882	0.32771499712698715
B.1.157	134.0	29.0	489.26682264391826	0.05927236153738919
B.1.328	1.0	29.0	91.44233643156552	0.31713975311319054
B.1.298	92.0	29.0	363.359385569009	0.07981079105631726
B.1.1.486	120.0	29.0	447.29188279118864	0.06483462167709
B.1.9	91.0	29.0	360.3623784499405	0.08047454932654274
B.1.306	38.0	29.0	201.64855692670213	0.14381456749299376
B.1.429.1		28.0	85.49122807017544	0.32751898214652164
B.1.177.31	1.0	28.0	88.44037104254889	0.3165974958034621
B.1.220	43.0	28.0	213.59100319025927	0.13109166388931934
B.1.436	27.0	28.0	165.76246372909748	0.1689164082753975
B.1.189	43.0	28.0	213.59100319025927	0.13109166388931934
A.4	33.0	28.0	183.6876643184761	0.152432663912879
B.1.1.47	80.0	28.0	324.38873348429775	0.08631619137708234
B.1.1.172	20.0	27.0	141.85995739894216	0.19032855003663873
B.1.177.89		27.0	82.49090909090908	0.327308794357505
B.1.177.28	1.0	27.0	85.4382669055083	0.3160176461662202
B.1.36.38	186.0	27.0	639.1901219912434	0.04224095315473272
B.1.1.487	41.0	26.0	201.58152927057296	0.1289800712103016
B.1.415	26.0	26.0	156.7488038277512	0.16587048427221807
B.19		26.0	79.49056603773585	0.3270828388321861
B.1.1.317	285.0	26.0	933.1253963117076	0.027863350523700443
B.1.337	30.0	26.0	168.69547021730256	0.15412387757957274
B.1.177.60	385.0	26.0	1233.094888076908	0.021085157558757457
B.1.1.219	105.0	26.0	393.29763480567556	0.06610769478145054
B.1.1.329	39.0	25.0	192.58534326700743	0.1298125785477822
B.1.81	2.0	25.0	82.38108438850179	0.3034677218146613
B.1.177.21	8309.0	25.0	25002.00449963976	0.0009999198264427243
B.1.330	4.0	25.0	88.28679069955356	0.283168068540138
B.1.258.6	12.0	25.0	112.01045671078245	0.2231934475952675
B.1.421	10.0	25.0	106.06782106782106	0.23569825181960413
B.1.1.384		25.0	76.49019607843137	0.3268392719815432
B.1.1.244	8.0	25.0	100.13206509030385	0.24967027272885875
B.1.1.337	67.0	24.0	273.39541358195646	0.08778494008205247
B.1.76	21.0	24.0	135.7984290623466	0.17673253045498286
B.35	47.0	24.0	213.50664087433765	0.11240868153663444
B.1.294	6.0	24.0	91.19473684210526	0.26317308247244187
B.1.1.15	2.0	24.0	79.37656529516994	0.302356242182482
B.27	19.0	24.0	129.83540981967684	0.1848494184547392
B.1.1.139	5.0	24.0	88.23555807090594	0.2719991863225214
B.1.177.75	219.0	24.0	729.1481381145796	0.03291512210681747
B.52	47.0	23.0	210.49247247713092	0.10926756538763566
B.1.1.97	2.0	23.0	76.37168892380204	0.3011587189455464
B.1.1.239	1.0	23.0	73.4281205673759	0.3132314952674806
B.57	29.0	23.0	156.66252496352845	0.14681239182985512
B.1.1.216	107.0	23.0	390.2653244605969	0.058934264866573334
B.1.1.450		23.0	70.48936170212765	0.3262903712647148
B.1.442	1.0	23.0	73.4281205673759	0.3132314952674806
B.1.131	38.0	23.0	183.56499291776927	0.1252962214331531
B.1.580	11.0	23.0	103.01137422849224	0.223276314603697
B.1.1.128	46.0	23.0	207.4995983935743	0.11084358802649252
B.1.360	48.0	22.0	210.47107659190738	0.10452742655304069
B.1.97	9.0	22.0	94.06050046462234	0.2338920151533167
B.1.238	22.0	22.0	132.74858757062148	0.16572681037601344
B.1.1.130	11.0	22.0	99.99666666666667	0.22000733357778593
B.1.1.213	9.0	22.0	94.06050046462234	0.2338920151533167
B.1.293	17.0	21.0	114.82695265148088	0.18288389193553306
B.13		21.0	64.48837209302326	0.3256401009736747
B.1.181	23.0	21.0	132.71462181537962	0.15823426019488093
B.1.505	23.0	21.0	132.71462181537962	0.15823426019488093
B.1.1.282	30.0	21.0	153.61681927222352	0.13670378087171572
N.1	6.0	21.0	82.1611449177372	0.2555952697716905
C.27	10.0	21.0	94.01246824830244	0.22337462669882824
B.1.1.323	36.0	21.0	171.5520381718216	0.12241183622060497
B.1.274	49.0	21.0	210.4496792587313	0.09978632456921997
B.1.177.86	1255.0	20.0	3825.0235293635183	0.005228726005596099
B.1.1.28	851.0	20.0	2613.0344430174364	0.007653936615127328
B.1.323	10.0	20.0	90.99633699633699	0.21978906690282587
B.1.1.344	29.0	20.0	147.61139843743388	0.13549089170425507
B.1.318		20.0	61.48780487804878	0.325267750892503
B.1.1.413	19.0	20.0	117.76755597983554	0.1698260597632208
B.1.1.120		20.0	61.48780487804878	0.325267750892503
B.33	15.0	20.0	105.85482938114517	0.18893800232757632
B.34	34.0	20.0	162.55492266018584	0.12303533890394172
B.58	39.0	20.0	177.5079890663158	0.11267098514945226
B.1.1.45	2.0	20.0	67.35443503864556	0.29693664550114207
B.4.4	26.0	20.0	138.6511513763344	0.14424690888945396
B.1.214.2	331.0	20.0	1053.0854677731743	0.01899181083781495
B.1.1.418	1.0	20.0	64.41801288142752	0.3104721661752196
A.5	415.0	19.0	1302.065667098798	0.014592197982099408
B.1.36.34	3.0	19.0	67.28714193607811	0.28237192802823674
B.1.494	6.0	19.0	76.13431048069344	0.24955896861794163
B.1.1.109		19.0	58.48717948717949	0.3248575186321789
B.1.460	11.0	19.0	90.94669232178852	0.20891359009268864
B.1.91	343.0	19.0	1086.0787273794197	0.01749412774693117
B.1.160.19		19.0	58.48717948717949	0.3248575186321789
B.1.267	13.0	19.0	96.88789610546687	0.1961029268229505
B.1.591	42.0	19.0	183.4668165169263	0.10356096192603362
B.1.441	45.0	19.0	192.44496902021677	0.09872952302537982
