lineage	No	Yes	total	open_ratio
B.1.1.7	21636.0	41860.0	190488.9888794782	0.21975023462634208
B.1.177	18225.0	16849.0	105222.72057485055	0.160127013519047
B.1	34849.0	10404.0	135759.34486082217	0.0766356084781197
B.1.2	13766.0	7561.0	63981.53178921451	0.11817472618363557
B.1.1	16402.0	6140.0	67626.40856984527	0.09079293326154594
B.1.177.45	12.0	2448.0	7381.4925823102185	0.331640243853478
B.1.160	8350.0	1915.0	30795.279833541088	0.06218485463847782
B.1.177.4	1009.0	1829.0	8514.966665319613	0.2147982572203467
B.1.1.37	1198.0	1684.0	8646.876445056289	0.19475240691831555
AD.2	891.0	1670.0	7683.978092037683	0.2173353411471192
A.1	1078.0	1604.0	8046.897058385788	0.19933149242023027
B.1.258	3879.0	1494.0	16119.417081829812	0.09268325227988995
B.1.429	769.0	1357.0	6378.957383895785	0.21273068909754136
B.1.243	2940.0	1159.0	12297.42412296012	0.09424737964726035
B.1.177.57	957.0	1142.0	6297.816067654563	0.18133270132566834
B.1.1.311	598.0	974.0	4716.92932827295	0.20649026775998336
B	2744.0	938.0	11046.382124871212	0.08491467970206001
B.1.1.291	264.0	769.0	3100.116516461301	0.2480551927376564
B.1.36.17	456.0	717.0	3519.9168001847515	0.20369799648740744
B.1.177.44	214.0	701.0	2746.1490200288054	0.25526655505120655
B.1.221	4745.0	680.0	16275.188017709155	0.04178139135843389
B.1.177.7	2631.0	652.0	9849.29789526041	0.06619761194488284
B.1.595	987.0	616.0	4809.576396186366	0.1280778075359073
B.1.369	889.0	616.0	4515.613925663519	0.13641555946559042
B.1.1.1	1068.0	602.0	5010.540699112108	0.12014671392783563
B.1.427	298.0	568.0	2598.983709576292	0.21854696430267356
B.1.623	213.0	524.0	2212.066314360998	0.23688259099563586
B.1.177.16	379.0	519.0	2694.866833541229	0.19258836597799547
B.1.234	1164.0	518.0	5046.461935963911	0.10264617202568045
B.40	971.0	516.0	4461.520490854054	0.11565563826452893
B.1.575	1020.0	514.0	4602.502589266494	0.11167837280498233
B.1.1.39	380.0	508.0	2664.85801600195	0.19062929317418023
B.1.240	996.0	507.0	4509.5059690991975	0.1124291670693312
B.1.177.87	246.0	500.0	2239.0052114538635	0.22331345967494767
B.1.1.369	957.0	499.0	4368.514059504974	0.11422648369742114
B.1.160.16	37.0	471.0	1525.3903253681904	0.3087734281298215
B.1.371	248.0	469.0	2151.9810224300827	0.2179387248826158
B.1.177.17	260.0	468.0	2184.964143858887	0.21419115792603377
B.1.375	102.0	451.0	1660.2230268380579	0.27165024982152086
B.1.177.10	204.0	427.0	1894.014874135338	0.22544701513758464
B.1.596	1078.0	424.0	4506.423422157071	0.09408791857313879
B.1.1.301	87.0	416.0	1510.2402169832865	0.27545286857143986
B.1.177.56	508.0	393.0	2703.6542202528544	0.14535882475505518
B.1.564	632.0	392.0	3072.574182978998	0.1275803208174907
B.1.177.54	586.0	381.0	2901.5909629767293	0.13130727413388887
B.1.311	452.0	376.0	2484.681097175126	0.15132726707965882
B.1.139	437.0	375.0	2436.692668343739	0.15389712657316518
B.1.426	353.0	373.0	2178.7705702925405	0.17119746571109495
B.1.177.8	400.0	367.0	2301.7176568190994	0.15944614184659917
B.1.320	254.0	362.0	1848.8813534162452	0.19579406722401058
B.1.400	188.0	359.0	1641.9842639484477	0.21863790529680208
B.1.1.372	491.0	347.0	2514.6210705785074	0.13799295808818227
B.1.509	224.0	338.0	1686.9019744142468	0.20036730356982704
B.1.389	225.0	330.0	1665.8917327236709	0.19809210497759197
B.1.1.279	213.0	291.0	1512.865906161746	0.19235016058910917
W.4	193.0	290.0	1449.9004346412323	0.20001373409599568
B.1.1.222	432.0	289.0	2163.601192572196	0.1335735998816041
C.30	78.0	283.0	1084.1754751487424	0.26102785617906926
B.1.232	270.0	282.0	1656.766186201541	0.17021110302023965
A	1426.0	259.0	5055.230560292961	0.051234062801082295
B.1.177.58	155.0	253.0	1224.929911624024	0.20654242957017035
B.1.177.18	199.0	251.0	1350.8364939314702	0.18581079288840532
B.1.1.51	59.0	250.0	928.2130633295618	0.2693347140614822
B.1.177.20	141.0	237.0	1134.940216413133	0.20882157189654907
B.1.177.5	250.0	236.0	1458.7282738238594	0.1617847574732735
B.1.258.17	193.0	227.0	1260.8105405198332	0.18004291105181253
B.1.177.43	29.0	224.0	760.3272899994594	0.2946099698725259
B.1.36	1453.0	223.0	5028.199579698255	0.04434987045867864
B.1.22	369.0	221.0	1770.5618049733653	0.12481913897567926
B.1.1.232	158.0	215.0	1119.8643887472533	0.19198753184795148
B.1.177.15	694.0	215.0	2727.3547700945655	0.07883096191132674
B.1.1.70	1004.0	210.0	3642.2594666555606	0.057656518411860626
B.1.391	362.0	210.0	1716.5506404093967	0.12233836570642337
B.1.258.3	123.0	202.0	975.932010814602	0.20698163167267394
B.1.384	82.0	197.0	838.0586936043882	0.2350670680984491
B.1.1.253	56.0	195.0	754.164738417109	0.25856419700724664
B.1.177.81	1140.0	194.0	4002.218136966277	0.048473119995166986
B.1.177.9	212.0	193.0	1215.7146747161082	0.1587543557825927
B.1.177.69	110.0	179.0	867.9287342409872	0.20623813101030394
B.1.1.519	201.0	178.0	1137.7043400784269	0.15645541089148846
B.1.93	506.0	177.0	2049.388701630161	0.08636721762894835
B.1.517	239.0	174.0	1239.631853868326	0.1403642536750127
B.1.503	33.0	173.0	619.2588545641456	0.2793662112780979
B.1.160.26	21.0	172.0	580.335761148709	0.2963801501040457
B.1.160.14	32.0	168.0	601.2591198483185	0.27941364123072576
B.1.1.26	11.0	168.0	538.4065941786405	0.31203183953623437
B.1.235	71.0	166.0	712.0501161740222	0.23312965791221116
B.1.565	250.0	164.0	1242.5941081835094	0.13198195526594278
B.1.177.19	136.0	164.0	900.8197511896568	0.182056398944867
B.1.1.277	762.0	161.0	2769.261638563551	0.05813824080685732
B.1.8	199.0	160.0	1077.6683854389785	0.1484686775281298
B.1.367	402.0	160.0	1686.4270102170165	0.09487514077434667
B.1.177.6	365.0	158.0	1569.4531112619397	0.10067201043869223
B.1.1.4	9.0	157.0	499.4173313783822	0.31436634280729314
B.1.1.10	335.0	154.0	1467.472341948882	0.10494235264119509
B.3	638.0	154.0	2376.2916547335853	0.06480685975277117
B.1.177.11	144.0	153.0	891.7725040815412	0.17156842053296822
B.1.425	80.0	153.0	699.9845165390841	0.218576263310043
B.1.1.303	75.0	150.0	675.9995069033531	0.22189365298079328
A.3	211.0	150.0	1083.623149202697	0.13842450681343071
B.1.1.416	124.0	148.0	816.8159046248329	0.18119137881867892
B.1.305	53.0	147.0	601.1018259573035	0.2445509124280076
B.1.1.464	275.0	146.0	1263.520118636512	0.11555019809067331
B.1.1.286	66.0	145.0	634.030247060107	0.2286957139227047
B.1.1.255	68.0	144.0	637.0183247214408	0.2260531517095198
B.1.1.44	50.0	142.0	577.1086641509859	0.24605418150999947
B.1.1.217	50.0	140.0	571.1045501506046	0.2451390029427728
B.1.221.1	64.0	139.0	610.0265171619596	0.22785894725801903
B.1.582	636.0	139.0	2325.2690218824396	0.0597780294202137
B.1.160.7	127.0	135.0	786.772647672287	0.17158705300623428
B.1.177.55	138.0	133.0	813.735940367056	0.16344368412682747
B.1.110.3	72.0	133.0	615.972658230342	0.21591867467316198
B.1.1.83	58.0	132.0	571.0414713441237	0.2311565912880144
B.1.177.48	75.0	132.0	621.9560313866135	0.2122336521212182
B.1.351	1056.0	130.0	3558.1644156799607	0.036535692231399367
B.1.36.1	119.0	128.0	741.7770564077726	0.172558586025658
B.1.1.434	832.0	128.0	2880.199995370692	0.0444413583104412
B.1.241	253.0	126.0	1137.4986078647153	0.11076936633489524
B.1.332	89.0	125.0	642.8757701845753	0.19443881041606434
B.1.1.307	93.0	124.0	651.8567671644595	0.19022583832241716
B.1.617.1	301.0	123.0	1272.4350919068709	0.09666504860037477
B.1.1.171	34.0	123.0	472.1741843155202	0.26049708790899906
B.1.349	313.0	122.0	1305.4206444641757	0.09345646594249798
B.1.1.198	310.0	120.0	1290.418559386819	0.09299308284671727
B.1.561	215.0	120.0	1005.5372177275443	0.1193391929054531
B.1.13	111.0	119.0	690.7757963119479	0.17227007754953347
B.1.399	92.0	119.0	633.8455952013107	0.18774288391513605
B.1.453	65.0	118.0	549.9666461105236	0.214558466107936
C.35	388.0	117.0	1515.3474981857526	0.07721001297727291
B.1.416.1	203.0	117.0	960.548333120849	0.12180542713541927
B.1.1.174	60.0	115.0	525.985098532202	0.2186373726573538
B.1.609	268.0	114.0	1146.447585716437	0.09943760309701312
B.1.396	385.0	114.0	1497.3426592281482	0.07613487754283635
B.1.1.170	304.0	113.0	1251.4064308105214	0.09029840123708746
B.1.1.186	51.0	113.0	493.0328143911715	0.22919366967397423
B.1.236	123.0	112.0	705.7146522197809	0.15870437101980392
B.1.112	50.0	111.0	484.0334249793142	0.22932300595716862
B.1.258.4	50.0	110.0	481.03051305788347	0.22867572225457444
B.1.362.2	46.0	108.0	463.05115145687296	0.23323557162141895
B.1.1.220	62.0	106.0	504.94583726973127	0.2099235050102553
B.1.366	17.0	106.0	370.29117868507103	0.2862612076701723
B.1.610	58.0	106.0	492.96887662241863	0.21502371656048572
B.1.124	14.0	105.0	358.32189985080464	0.29303260572049633
